1,HongKong,China,26700000.0
2,Bangkok,Thailand,25800000.0
3,London,England,19600000.0
4,Macau,China,20600000.0
5,Singapore,19700000.0
6,Paris,France,19000000.0
7,Dubai,UnitedArabEmirates,16300000.0
8,NewYorkCity,NewYork,14000000.0
9,KualaLumpur,Malaysia,14000000.0
10,Istanbul,Turkey,14700000.0
11,Delhi,India,15200000.0
12,Antalya,Turkey,13300000.0
13,Shenzhen,China,12300000.0
14,Mumbai,India,12400000.0
15,Phuket,Thailand,10900000.0
16,Rome,Italy,10300000.0
17,Tokyo,Japan,10400000.0
18,Pattaya,Thailand,9600000.0
19,Taipei,Taiwan,9900000.0
20,Mecca,SaudiArabia,9800000.0
21,Guangzhou,China,9000000.0
22,Prague,CzechRepublic,9200000.0
23,Medina,SaudiArabia,8800000.0
24,Seoul,SouthKorea,9100000.0
25,Amsterdam,Netherlands,8800000.0
26,Agra,India,10100000.0
27,Miami,Florida,8300000.000000001
28,Osaka,Japan,9000000.0
29,LosAngeles,California,7700000.0
30,Shanghai,China,7700000.0
31,HoChiMinhCity,Vietnam,8199999.999999999
32,Denpasar,Indonesia,8600000.0
33,Barcelona,Spain,7000000.0
34,LasVegas,Nevada,6600000.0
35,Milan,Italy,6600000.0
36,Chennai,India,5000000.0
37,Vienna,Austria,6600000.0
38,JohorBahru,Malysia,7200000.0
39,Jaipur,India,7600000.0
40,Cancun,Mexico,6200000.0
41,Berlin,Germany,6200000.0
42,Cairo,Egypt,6800000.0
43,Athens,Greece,6300000.0
44,Orlando,Florida,5700000.0
45,Moscow,Russia,6000000.0
46,Venice,Italy,5600000.0
47,Madrid,Spain,5600000.0
48,HaLong,Vietnam,6200000.0
49,Riyadh,SaudiArabia,5500000.0
50,Dublin,Ireland,5500000.0
